subject_id	sid_hash	excluded	solver	p1_accuracy	p2_accuracy	p1_last_acc	p2_last_acc	p2_non_md	p2_last_8_solved	dtest_solved	dtest_duration	dtest_num_attempts	dtest_skipped	gender	age	education	edu_status	prior_exposure	prior_attempt	prior_completed	m_alg	m_geom	m_trig	m_sv_calc	m_mv_calc	m_linalg	m_pr_stat	m_disc	m_logic	q_attn_check1	q_attn_check2	q_attn_check3	q_puzzle	q_puzzle_digit	digit_target	digit_distractor	q_confidence	q_strategy	q_digit_selection	q_digit_notice	q_hint_select	q_hint_explain	q_digit_check	q_check_strategy	q_check_strategy_select	q_additional_info	tut_house	p1_last_acc_freq
1	0e8a79	FALSE	TRUE	1	1	0.96475	0.990625	0	8	FALSE	NA	0	TRUE	Female	20	hs	Currently pursuing	Yes	No	None	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	target	5	5	6	100	I narrowed down the amount of spaces that could hold a number 5 by following along the rows.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	The amount of cells that number fills.	['distractorBox']	A six can go in two spaces, a five can only go in one.	Yes, I checked to see whether the candidate was actually correct.	I used a process of elimination.	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	I used process of elimination to complete the puzzle.	column	0.9716932924256366
2	63ea3a	FALSE	TRUE	1	1	0.967375	0.98975	0	8	FALSE	NA	0	TRUE	Female	18	hs	Currently pursuing	Yes	Yes	None	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	target	8	8	9	100	I first found the 3x3 box with the numbers 9 and 8 and eliminated those blue boxes because neither of those numbers could be used again there. Then, I found the column between the numbers 7 and 4 and eliminated the blue box because the column contained 9 and 8. Finally, from the two columns left, I concluded that the blue box that shared the column with an 8 must be 9. So then, the remaining box must be 8.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.	NA	['targetDouble']	NA	NA	NA	NA	For the two remaining columns, I concluded that the last blue box must be 9 since 8 was already in that column. That led me to figure out that the green box that I was solving must be 8, since all the other boxes were eliminated and the numbers 1-9 could only be used once for each 3x3 box, or column, or row.	row	0.9716932924256366
3	9e8c77	FALSE	TRUE	1	1	0.9665	0.9885	0	8	FALSE	NA	0	TRUE	Male	30	bach	Completed	No	No	None	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	target	8	8	6	100	I used a process of elimination. I eliminated the possible squares for 8. I realized 8 can only be in one square due to contradictions. Thus, I determined the correct answer was 8.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	I noticed 8 could not be placed in other cells or squares. It was the only reasonable and correct candidate.	['targetSingle', 'targetBox', 'targetDouble', 'emptyDouble', 'emptySingle', 'emptyBox']	The number 8 could not be placed in the those cells. The number 8 could only be placed in the green cell.	No, I just submitted my original guess without checking any further.	NA	NA	I eliminated all possibilities because 8 can only be placed in one cell in the row. There was only possible placement for 8 to avoid any contradictions in the row.	row	0.9716932924256366
4	3d2616	FALSE	TRUE	1	0.984375	0.964375	0.978875	0	8	FALSE	NA	0	TRUE	Female	66	hs	Completed	Yes	No	None	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	target	8	8	4	100	I saw that there was a 4 and 8 in the bottom middle grid. This let me know that those were two numbers i was interested in, since they eliminated themselves from contention for the column in question. I then looked at the non eliminated boxes in the column and checked to see if they were also eliminated by an 8 or 4 in their row. You can see that the top bow in our row is eliminated by the 8 to its left, meaning that box could still be a 4. The second empty box is eliminated by both 8 on the left and 4 on the right, it cant be either of those numbers. Since the last 3 boxes in our column are eliminated by the 4 and 8 in that grid, it leaves only one space available left for the 8 to go in our column.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	I noticed that the number 8 was eliminated in more places than the 4 in the column in question. There is a 4 in the top left grid that does not eliminate any square in our target column.	['distractorSingle', 'targetSingle']	The 8 in the top left grid eliminated a box in our target column, while the 4 in the top left grid does not interact with our column in a meaningful way.	Yes, I checked to see whether the candidate was actually correct.	Once i thought it was an 8 I went through and used the other 8's available to eliminate there being any other place that the 8 could go.	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	The key for me was to see that the number 8 was eliminated in all other candidate squares in the column in question.	column	0.9716932924256366
5	9066ea	FALSE	TRUE	1	0.984375	0.96675	0.983625	0	8	FALSE	NA	0	TRUE	Female	47	bach	Completed	Yes	No	None	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	target	8	8	6	100	I checked each open blue square to see if there was an 8 in the row, column or 9 square, I concluded there was not. I checked the 6 and there was another blue square option where the 6 could go. So, I concluded the 8 belonged in the green square.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	There was an 8 in a row by itself with no other numbers.	['targetSingle', 'emptySingle']	The 8 cannot go in the blue column, but the 6 still could.	Yes, I checked to see whether the candidate was actually correct.	I double checked that the 6 could not be eliminated as a possibility in the blue column 4th row.	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	I first checked to see if the 8 could go in any of the free blue spaces. It could not. I then double checked if the 6 could go in any free blue spaces, and it could.	column	0.9716932924256366
6	bfd88d	FALSE	TRUE	1	0.984375	0.965875	0.980875	0	8	FALSE	NA	0	TRUE	Female	35	phd	Completed	Yes	No	None	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	target	2	2	1	100	1) I eliminated the 3 spaces in the 3x3 box that already contain 1 and 2.<>2) I moved to the center box to confirm that neither number could be in the space to the left of the green box.<>3) I moved to the final 3x3 square to see which of the 2 could be placed there, leaving me with the answer for the green space.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.	NA	['targetSingle']	NA	NA	NA	NA	I did not consider the numbers individually. As I went through the puzzles, I thought of the as a pair and worked until only 1 was left.	row	0.9716932924256366
7	3bcd6a	FALSE	TRUE	1	0.96875	0.970125	0.969875	0	8	FALSE	NA	0	TRUE	Male	38	bach	Completed	No	No	None	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	target	5	5	8	100	1.  In the center block,  the 5 on the top rules out the blue cell on the right.<>2. The 5 at the bottom rules out the blue cell in the middle.<>3. In the left block, the 5 rules out all three blue cells.<>4.The 5 can only be located in the green cell.<>	I arbitrarily chose between the two candidates because they seemed equally promising to consider.	NA	['emptySingle', 'emptyBox', 'emptyDouble']	NA	NA	NA	NA	I rule out squares based on the numbers in the other squares.	row	0.9716932924256366
8	89b7d6	FALSE	TRUE	1	0.96875	0.9685	0.97025	0	8	FALSE	NA	0	TRUE	Male	31	phd	Currently pursuing	Yes	No	None	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	target	2	2	3	100	I first identified the 3x3 square that contained two numbers outside of the blue-shaded row. I noted that these numbers were 2 and 3, and then I looked for their locations in rows that:<><>1) didn't cross that same 3x3 square<>2) didn't contain numbers in their blue-shaded square.<>3) Didn't include the green/yellow target square<><>There were two rows matching this description. Of these two rows, I identified the one that contained only one number. This number was  2. I therefore entered 2 in the target square.<>	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	Excluding the 3x3 containing both possible numbers, there was only one row that contained only one of the possible numbers.	['targetSingle']	When a row like this exists, containing only one of the possible numbers (e.g. 2), that excludes the other number (e.g. 3) from consideration, because it means that 3 *could* be used in that row's blue-shaded square.	Yes, I checked to see whether the candidate was actually correct.	I followed the process described in my first open-ended answer. I first identified the 3x3 containing both possible numbers, then I went back to the other rows, which I had already noticed. I'm not sure if this was necessary to do, but it's the process I built up by habit while doing the puzzles.	I looked at other numbers in the puzzle until I noticed something that helped me decide whether or not the candidate was correct.	I basically developed kind of decision-making habit that allowed me to observe patterns over the course of the main puzzle task. Even when this failed, which happened twice, I was able to recognize what I had done wrong and refine the process. Once I had repeated this process for awhile, I felt very confident answering the puzzles.	column	0.9716932924256366
9	db5261	FALSE	TRUE	1	0.96875	0.96375	0.979625	0	8	FALSE	NA	0	TRUE	Female	40	bach	Completed	Yes	No	None	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	target	6	6	1	100	I located the larger square with two numbers in it (6 and 1) that also contained  three small blue squares. This told me the green square would have a 6 or 1. I then checked to see if 6 could fit in one of the two remaining blue squares. Since there was already a 6 in each row I knew 6 had to be the solution for the green square.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	6 shared a row by itself.	['targetSingle']	1 could go in the blue square in this row but 6 could not which meant 6 was the only correct solution for the green square.	Yes, I checked to see whether the candidate was actually correct.	I double checked to make sure there was nowhere else 6 could go other than the green square.	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	I eliminated 1 as the solution since it could go in the two different squares. The 6 could only go in the green square.	column	0.9716932924256366
10	54a6d8	FALSE	TRUE	1	0.9375	0.964375	0.9455	2	7	FALSE	NA	0	TRUE	Male	30	bach	Completed	Yes	Yes	None	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	target	3	3	8	100	used a scratch sheet of paper, looked at row one at a time to not confuse myself with the other rows.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.	NA	['occupied', 'occupied']	NA	NA	NA	NA	focused on the rules of the game and made sure that an answer made sense with the rules.	column	0.9716932924256366
