puzzle_id	question	answer	response	r_parsed	correct
344	"Q: Consider a Sudoku grid with the following numbers:
[X 0 0 0 0 0 0 0 0]
[7 0 0 0 0 0 0 0 0]
[0 0 0 9 0 0 0 0 6]
[5 0 0 0 0 0 0 0 0]
[8 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 9 0 0]
[0 0 0 6 0 0 0 0 0]
[0 6 0 0 0 0 0 0 0]
[0 9 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	9	 4.	4	False
4184	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 7 0 0]
[0 0 0 0 0 X 0 0 0]
[0 0 0 0 0 8 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 4 7 0 0 0 0]
[0 4 0 0 0 0 0 0 0]
[0 0 0 0 0 6 0 0 0]
[7 0 0 0 0 0 4 0 0]
[0 0 0 0 0 9 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	7	 3.	3	False
12689	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[0 0 9 0 0 0 0 0 0]
[0 0 0 0 0 1 0 0 0]
[9 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0 0]
[0 0 0 0 0 9 0 0 0]
[0 0 0 0 1 0 0 0 0]
[0 6 0 0 0 0 X 5 8]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be"	9	 4.	4	False
17054	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 9 0 0]
[0 0 0 2 0 0 1 0 0]
[5 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 5]
[0 0 0 0 0 0 0 0 2]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 X 0 0]
[0 2 0 0 0 5 0 0 0]
[0 0 0 0 0 0 4 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	5	 7.	7	False
17339	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 3]
[0 0 0 3 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 2 0 0 0 0 0 0]
[0 0 0 2 0 0 0 0 0]
[X 9 0 0 7 5 0 0 0]
[0 0 0 0 0 0 2 3 0]
[0 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be"	2	 6.	6	False
20684	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 4]
[0 0 0 0 0 0 0 0 X]
[5 0 0 0 0 0 0 0 0]
[0 0 5 0 8 0 0 0 0]
[0 0 0 0 0 0 0 0 1]
[8 0 0 0 0 0 0 0 2]
[0 0 0 0 0 0 0 8 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 5 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	5	 6.	6	False
23429	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[5 0 0 0 0 0 0 0 0]
[0 0 0 9 0 0 0 0 0]
[0 X 7 6 0 8 0 0 0]
[0 0 0 0 0 0 0 9 0]
[0 0 0 0 0 0 5 0 0]
[9 0 0 0 0 0 0 0 0]
[0 0 0 0 5 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be"	5	 4.	4	False
26729	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 1 0 5 0]
[0 X 0 0 0 0 0 0 0]
[0 8 0 0 0 0 0 0 0]
[0 4 0 0 0 0 0 0 0]
[0 0 0 0 0 0 1 0 0]
[0 7 0 0 5 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0 0]
[5 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	1	 6.	6	False
43874	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 7 0]
[0 0 0 0 0 0 0 3 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 3 0 7 0 0 0]
[0 9 X 0 0 0 5 0 2]
[3 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 7 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be"	3	 6.	6	False
48464	"Q: Consider a Sudoku grid with the following numbers:
[0 9 0 0 6 0 0 0 0]
[0 0 0 0 0 0 0 X 0]
[0 0 0 0 0 0 0 8 0]
[0 0 0 0 0 0 0 7 0]
[0 0 0 0 9 0 0 0 0]
[0 0 0 0 0 0 0 1 0]
[0 0 0 0 0 0 0 0 9]
[0 0 0 0 0 6 0 0 0]
[0 0 0 0 0 0 6 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	9	 4.	4	False
