problem_id	prompt	answer	pid_target	pid_1	pid_2	pid_3	pid_4	response	r_parsed	correct
0	"Q: Consider a Sudoku grid with the following numbers:
[X 0 0 0 0 0 0 0 0]
[0 0 0 0 5 0 0 6 0]
[0 0 0 0 0 0 0 5 0]
[0 0 0 0 0 0 0 0 6]
[0 0 6 0 0 0 0 0 0]
[0 5 0 0 0 0 0 0 0]
[7 0 0 0 0 0 0 0 0]
[9 0 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 5

Q: Consider a Sudoku grid with the following numbers:
[0 9 0 0 0 0 0 0 0]
[0 0 0 0 9 0 0 0 0]
[0 0 6 0 0 0 0 0 0]
[X 0 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0 0]
[3 0 0 0 0 0 0 0 0]
[0 0 0 6 0 0 0 9 0]
[0 0 0 0 0 0 6 0 0]
[5 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 6

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 X 0 0 0 0]
[6 0 0 0 4 0 0 0 0]
[0 0 0 0 7 0 0 0 0]
[0 0 0 6 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 9 0 0 0 0 0]
[0 9 0 0 0 0 0 0 0]
[0 0 0 0 5 0 0 0 0]
[0 0 6 0 0 0 0 0 9]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 9

Q: Consider a Sudoku grid with the following numbers:
[0 X 0 0 0 0 0 0 0]
[0 7 0 0 0 8 0 0 0]
[0 6 0 0 0 0 0 0 0]
[0 0 0 0 8 9 0 0 0]
[0 1 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 9 0]
[0 0 9 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 8 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 9

Q: Consider a Sudoku grid with the following numbers:
[2 0 0 0 0 0 0 0 0]
[0 9 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 X 0 0 0 0 0 0]
[0 0 7 0 0 0 0 0 0]
[0 0 0 0 0 0 0 9 2]
[0 0 0 0 0 9 0 0 0]
[0 0 4 0 0 2 0 0 0]
[0 0 1 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	9	137954	359	494	1064	2549	 8	8	False
1	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 1 0]
[0 0 7 5 0 0 0 0 0]
[0 0 0 0 0 0 0 8 0]
[0 0 0 0 0 0 0 X 0]
[7 0 0 0 0 0 0 4 0]
[0 0 0 0 0 5 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 7 0 0]
[0 0 0 0 0 0 0 0 5]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 5

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 9]
[0 0 4 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 9 0 0 0 0 4 0]
[6 2 0 0 0 0 X 0 5]
[0 0 0 4 0 0 0 0 0]
[0 0 0 9 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 4

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 X 0]
[0 5 0 0 0 0 0 0 0]
[9 0 0 0 0 0 0 2 0]
[0 0 0 0 0 0 5 0 0]
[0 0 0 0 0 0 9 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 8 0]
[0 0 5 0 9 0 0 0 0]
[0 0 0 0 0 0 0 4 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 5

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 9 0 0 8 0 0 0]
[8 9 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 2 0 5 1 X]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 8 0 9 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 8

Q: Consider a Sudoku grid with the following numbers:
[0 1 7 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 1 7 0 0 0 0]
[4 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 1 0 0]
[2 0 0 0 0 0 0 7 0]
[X 0 0 0 0 0 0 0 0]
[9 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	1	113594	6614	13379	16109	20624	 4	4	False
2	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 1 X 7 0 9 0]
[0 8 0 0 0 0 0 0 0]
[0 0 2 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 2 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 8 0 0 0 0 0 0]
[0 0 0 0 0 0 8 0 0]
[0 0 0 0 0 0 0 0 2]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 2

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 2 0]
[0 0 0 0 0 0 0 X 0]
[0 9 0 0 5 0 0 0 0]
[0 0 0 0 0 0 0 4 0]
[0 0 0 0 0 0 0 6 0]
[0 0 0 0 0 9 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 5 0 0 0 0 0 0 0]
[0 0 0 0 0 0 9 0 5]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 9

Q: Consider a Sudoku grid with the following numbers:
[5 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0 0]
[0 0 0 1 0 0 0 5 0]
[0 0 0 0 0 0 0 0 1]
[0 0 3 0 5 0 0 0 0]
[0 0 X 0 0 0 0 0 0]
[0 0 4 0 0 0 0 0 0]
[0 0 7 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 1

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 6 0 1]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 X 0]
[0 0 0 0 0 0 0 3 0]
[0 0 0 0 0 0 0 4 0]
[0 1 0 0 0 0 0 7 0]
[0 6 0 0 0 0 0 0 0]
[0 0 0 1 6 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 6

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 1]
[0 X 7 5 0 2 0 0 0]
[0 0 0 0 0 0 0 9 0]
[1 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 9 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[9 0 0 0 0 0 0 0 0]
[0 0 0 0 1 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be"	1	218999	23804	23924	24479	27119	 4	4	False
3	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[7 0 0 0 0 0 0 0 0]
[0 2 0 0 0 0 0 0 0]
[0 0 0 0 0 2 0 0 0]
[0 7 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[4 0 5 X 3 0 0 0 0]
[0 0 0 0 0 0 2 0 0]
[0 0 0 0 0 0 7 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 2

Q: Consider a Sudoku grid with the following numbers:
[0 0 5 8 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 9 0 0 0 0 6 X 1]
[0 0 0 0 5 0 0 0 0]
[0 0 0 0 0 8 0 0 0]
[8 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[5 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 5

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 5 0 0 0 0 0]
[5 0 0 8 0 0 0 0 0]
[0 0 0 0 0 0 0 0 1]
[0 0 0 0 0 0 0 0 3]
[0 0 0 0 0 0 0 0 X]
[0 0 0 0 0 8 0 0 6]
[0 0 0 0 0 0 5 8 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 5

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 3 0 0]
[0 0 0 0 0 0 8 0 0]
[0 0 0 0 3 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 8 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[7 2 0 0 0 0 0 5 X]
[0 0 0 3 8 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 8

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 5 2 0 0 0 0]
[0 0 0 0 0 0 6 0 0]
[0 5 0 0 0 0 9 0 0]
[0 0 0 0 0 0 3 0 0]
[0 0 0 2 0 0 0 0 0]
[0 0 0 0 0 0 X 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 5 0]
[0 0 0 0 0 0 0 0 2]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	2	170984	27599	27839	28769	29294	 5	5	False
4	"Q: Consider a Sudoku grid with the following numbers:
[0 X 0 0 0 0 0 0 0]
[0 0 0 1 0 0 0 0 0]
[0 8 0 0 0 0 0 0 0]
[0 0 6 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 6 0]
[0 0 0 6 0 0 0 0 1]
[0 2 0 0 0 0 0 0 0]
[0 7 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 1

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 X 0 0]
[0 6 0 0 0 0 8 0 0]
[0 7 0 0 0 6 0 0 0]
[0 0 0 0 0 0 0 7 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 6]
[0 0 0 0 0 0 2 0 0]
[0 0 7 0 0 0 0 0 0]
[0 0 0 0 0 0 4 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 7

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 4 0 0 0 5]
[0 0 0 0 0 3 0 0 0]
[0 0 0 0 0 0 0 0 8]
[0 0 0 0 0 0 3 4 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 4 0 0 3 0 0 0 0]
[0 0 0 0 0 0 0 0 X]
[0 0 0 0 0 0 0 0 1]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 3

Q: Consider a Sudoku grid with the following numbers:
[0 4 0 0 0 0 0 0 0]
[0 0 0 X 0 0 0 0 0]
[3 0 0 0 0 0 0 0 4]
[0 0 0 7 0 0 0 0 0]
[0 0 0 9 0 0 0 0 0]
[0 0 0 5 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 3]
[0 0 0 0 3 4 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 4

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 5 0 0]
[9 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 X 0 0]
[0 0 0 0 0 0 0 2 0]
[0 0 0 0 0 0 0 0 9]
[0 0 0 0 0 0 0 0 0]
[0 2 0 0 0 0 6 0 0]
[0 9 0 0 2 0 0 0 0]
[0 0 0 0 0 0 4 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	9	50384	29984	30869	34724	35309	 8	8	False
5	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[2 4 0 0 0 0 7 0 X]
[0 0 0 9 3 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 9 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 9 0 0 0 0 3 0]
[0 0 0 3 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 9

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 6 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 6 0 0 3 0 0 0 0]
[0 0 0 0 0 0 0 3 6]
[7 1 8 0 0 X 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 3 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 3

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 6 0 0 0 0]
[0 0 0 0 3 0 0 0 0]
[0 0 0 3 0 6 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[X 4 5 2 0 0 0 0 0]
[0 0 0 0 0 0 6 0 3]
[0 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 6

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 2 0 0 0 0 0]
[0 0 0 0 6 0 0 0 0]
[4 X 1 0 0 0 0 0 5]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 6 0]
[0 0 0 0 0 0 2 0 0]
[0 0 0 0 0 0 0 0 0]
[6 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 2 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 2

Q: Consider a Sudoku grid with the following numbers:
[5 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[4 0 0 0 0 5 0 0 0]
[0 7 0 0 0 0 0 0 0]
[0 2 0 0 0 0 0 0 0]
[0 0 0 0 4 0 0 0 0]
[0 0 0 0 5 0 4 0 0]
[0 X 0 0 0 0 0 0 0]
[0 3 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	4	139694	36134	37064	39134	42254	 7	7	False
6	"Q: Consider a Sudoku grid with the following numbers:
[0 0 2 0 0 0 0 0 0]
[0 0 8 0 0 0 0 0 0]
[0 0 X 0 0 0 0 0 0]
[0 0 0 0 0 3 5 0 0]
[0 0 4 0 0 0 0 0 0]
[0 0 0 0 5 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[5 3 0 0 0 0 0 0 0]
[0 0 0 0 3 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 5

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 8 0 0 0 2 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 2 8 0 0 0 0]
[7 0 6 0 0 0 9 0 X]
[0 8 0 0 0 0 0 0 0]
[0 2 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 2

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[0 4 0 0 0 0 0 0 0]
[0 6 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0 0]
[3 0 0 0 0 0 0 0 0]
[5 0 0 0 0 0 0 0 4]
[0 0 0 0 0 0 0 6 0]
[0 0 0 0 6 0 4 0 0]
[X 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 6

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 7 0 0 0 0]
[0 0 0 0 6 0 0 0 0]
[0 0 0 0 9 0 0 3 0]
[0 0 4 0 0 0 0 0 3]
[0 0 0 0 X 0 0 0 0]
[0 0 0 0 0 0 4 0 0]
[0 0 0 0 0 3 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 4 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 4

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 5 0 0 0 0]
[0 9 0 0 4 0 0 0 0]
[0 0 2 0 0 0 0 0 0]
[9 2 0 0 0 0 0 0 0]
[0 0 0 0 1 0 0 0 0]
[0 0 0 0 X 0 0 0 0]
[0 0 0 9 0 0 0 0 0]
[0 0 0 2 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	2	52739	42989	45854	46544	52559	 7	7	False
7	"Q: Consider a Sudoku grid with the following numbers:
[0 0 2 0 0 0 0 0 0]
[0 0 0 0 0 9 0 0 0]
[0 0 0 2 0 0 0 0 0]
[0 0 0 0 1 0 0 0 0]
[0 0 0 0 0 0 9 0 0]
[0 0 0 0 X 0 0 0 0]
[0 0 0 0 7 0 0 0 0]
[0 0 0 0 3 0 0 0 0]
[0 9 0 0 0 0 0 0 2]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 9

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 9 0 0 0 0]
[0 8 0 0 0 0 0 0 0]
[3 0 0 0 0 0 8 0 0]
[0 0 0 0 1 0 3 0 0]
[0 0 0 0 6 0 0 0 0]
[0 0 0 0 X 0 0 0 0]
[0 0 0 3 0 8 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 8

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 1 0]
[0 0 0 0 0 0 0 0 4]
[0 0 0 0 1 0 0 0 0]
[0 0 0 0 0 0 0 4 0]
[0 0 0 0 0 0 0 0 0]
[0 0 4 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0 0]
[0 0 0 2 0 9 X 0 7]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 1

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 9 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 3 0 0 0]
[0 0 0 0 7 0 0 0 0]
[0 0 3 0 0 0 9 0 0]
[0 0 9 0 5 0 0 0 0]
[0 0 0 0 6 0 0 0 0]
[0 0 0 0 0 0 0 0 3]
[0 0 0 0 X 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 3

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 4]
[0 0 0 0 0 0 0 0 X]
[5 0 0 0 0 0 0 0 0]
[0 0 5 0 8 0 0 0 0]
[0 0 0 0 0 0 0 0 1]
[8 0 0 0 0 0 0 0 2]
[0 0 0 0 0 0 0 8 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 5 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be"	5	20684	52904	53084	59669	60389	 1	1	False
8	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 3 0 0 0]
[0 0 0 0 0 0 0 0 0]
[4 X 2 0 6 0 0 0 0]
[0 0 0 0 0 0 0 1 3]
[0 0 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0 0]
[0 0 0 0 0 1 0 0 0]
[0 0 0 3 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 3

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[3 0 0 0 0 0 0 0 0]
[6 0 0 0 0 0 0 0 0]
[0 X 2 0 4 7 0 0 0]
[0 0 0 0 0 0 0 3 6]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 6 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 3 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 3

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 7 3 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[9 0 0 0 0 0 5 1 X]
[0 0 0 0 0 0 0 0 0]
[0 0 7 0 0 0 0 0 0]
[0 3 0 0 0 0 7 0 0]
[0 0 3 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 3

Q: Consider a Sudoku grid with the following numbers:
[0 0 3 0 0 0 0 8 0]
[0 0 0 0 0 0 0 3 0]
[0 0 0 0 6 0 0 0 0]
[0 0 0 0 X 0 0 0 0]
[0 0 0 0 7 0 0 0 0]
[0 0 0 0 1 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 8 0 0 0 0 0]
[0 8 0 0 0 3 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 3

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 4 0 0 0]
[4 0 0 0 0 8 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 8 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 4 8 0 0 0 0 0 0]
[0 0 0 X 3 0 0 7 9]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be"	8	96509	60839	61019	66404	68039	 6	6	False
9	"Q: Consider a Sudoku grid with the following numbers:
[0 0 0 X 0 0 0 0 0]
[0 0 0 0 0 0 0 0 2]
[0 0 0 5 0 0 0 0 0]
[0 0 0 4 0 0 0 0 0]
[0 0 0 3 0 0 0 0 0]
[0 0 1 0 0 0 0 2 0]
[0 0 0 0 0 0 1 0 0]
[0 0 0 0 0 2 0 0 0]
[0 0 0 0 1 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 2

Q: Consider a Sudoku grid with the following numbers:
[7 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 9 0]
[0 0 0 0 0 0 0 0 0]
[0 7 0 0 0 0 0 0 0]
[9 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 3 X 5 8 0 0 0]
[0 0 0 0 0 0 7 0 0]
[0 0 0 0 0 0 9 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 7

Q: Consider a Sudoku grid with the following numbers:
[0 0 7 0 0 0 0 0 0]
[0 0 0 3 0 0 0 0 7]
[0 0 0 0 0 0 0 0 3]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 7 0 0 0 0 0 0 0]
[0 0 0 0 1 5 X 6 0]
[0 3 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be 3

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 2 0]
[0 0 0 3 0 0 0 0 0]
[8 2 0 0 0 0 0 0 0]
[0 0 0 0 8 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 2 0 0 0 0]
[0 0 0 7 0 0 0 0 0]
[0 0 0 X 0 0 0 0 0]
[0 0 0 6 0 0 0 0 8]
What number must X be?
Hint: use the hidden single technique along the column that contains X.
A: X must be 2

Q: Consider a Sudoku grid with the following numbers:
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 7 1]
[0 5 0 6 X 3 0 0 0]
[0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
[1 0 7 0 0 0 0 0 0]
[0 7 0 0 0 0 0 0 0]
[0 0 1 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0]
What number must X be?
Hint: use the hidden single technique along the row that contains X.
A: X must be"	1	326039	68564	73004	73679	73769	 4	4	False
